extraction_number,paper,subject,predicate,object,source_section,confidence,passage,sentence_ref
56,paper1,GaroDialect,IS_KNOWN_AS,A'we,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(A'we),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
57,paper1,GaroDialect,IS_KNOWN_AS,Chisak,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(Chisak),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
58,paper1,GaroDialect,IS_KNOWN_AS,Matchi,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(Matchi),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
59,paper1,GaroDialect,IS_KNOWN_AS,Dual,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(Dual),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
60,paper1,GaroDialect,IS_KNOWN_AS,Ganching,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(Ganching),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
61,paper1,GaroDialect,IS_KNOWN_AS,Chibok,Page 3,High,(GaroDialect)-[IS_KNOWN_AS]->(Chibok),"Though most of the Garo people of plain land speak A’beng, they understand other dialects as well."
62,paper1,GaroLanguageName,IS_CALLED,MandiKhusik,Page 3,High,(GaroLanguageName)-[IS_CALLED]->(MandiKhusik),They call their language ‘Mandi khusik’
63,paper1,GaroLanguageName,IS_CALLED,GaroLanguage,Page 3,High,(GaroLanguageName)-[IS_CALLED]->(GaroLanguage),"For that reason, it is found that the Garo language and Garo people have been written in published articles and books"
64,paper1,GaroLanguageUseAlphabet,USES,RomanAlphabet,Page 3,High,(GaroLanguageUseAlphabet)-[USES]->(RomanAlphabet),They use the Roman alphabet as they do not have their own script.
65,paper1,LinguisticImpactOnMandi,HAS_IMPACT_FROM,BanglaLanguage,Page 3,High,(LinguisticImpactOnMandi)-[HAS_IMPACT_FROM]->(BanglaLanguage),"Burling (1963) and Burling (2004) assert that Mandi bears a substantial linguistic impact from the Bangla language, which is evident in the use of a large number of Bangla words and sentence structure."
66,paper1,GaroSelfName,IS_CALLED,Mandi,Page 3,High,(GaroSelfName)-[IS_CALLED]->(Mandi),"They prefer to call them Mandi, and they call each other Mandi"
67,paper1,GaroMainstreamName,IS_CALLED,Garo,Page 3,High,(GaroMainstreamName)-[IS_CALLED]->(Garo),"For that reason, it is found that the Garo language and Garo people have been written in published articles and books (Burling,1963). This study uses both the Garo language and Mandi as the language of the Garo community in Bangladesh."
68,paper1,GaroLanguage,IS_KNOWN_AS,GaroCommunityBangladeshLanguage,Page 3,High,// PASSAGE: (GaroLanguage)-[IS_KNOWN_AS]->(GaroCommunityBangladeshLanguage),The Garo language and Mandi as the language of the Garo community in Bangladesh.
69,paper1,GaroCommunityInBangladesh,ARE_STUDYED,LanguageMaintenance,Page 4,High,// PASSAGE: (GaroCommunityInBangladesh)-[ARE_STUDYED]->(LanguageMaintenance),This study is in-depth qualitative research on Garo language maintenance and attitudes.
70,paper1,NoResearchConductedOnGaroLanguageMaintenanceInBangladesh,IS_TRUE,Unknown,Page 4,High,(NoResearchConductedOnGaroLanguageMaintenanceInBangladesh)-[IS_TRUE]->(Unknown),"To date, no research has been conducted on language maintenance among the Garo community in Bangladesh."
71,paper1,ExistingResearchOnGaroFocusesOnVariousTopics,IS_TRUE,KnownTopics,Page 4,High,(ExistingResearchOnGaroFocusesOnVariousTopics)-[IS_TRUE]->(KnownTopics),"The existing research on Garos focuses on their existence, rights, culture, family structure, marital system, eating style, religion, and origination."
72,paper1,Burling1963StudiedGaroPeople,IS_TRUE,AnthropologicalStudy,Page 4,High,(Burling1963StudiedGaroPeople)-[IS_TRUE]->(AnthropologicalStudy),"Burling (1963) first wrote on the Garo people of greater Mymensingh, but his study was anthropological."
73,paper1,BurlingMentionedGaroLanguageHistory,IS_TRUE,OriginHistory,Page 4,High,(BurlingMentionedGaroLanguageHistory)-[IS_TRUE]->(OriginHistory),"In his studies, he mentioned only the history of the origin of the Garo language."
74,paper1,EllenBalResearchedGaroPeople,IS_TRUE,FamousResearcher,Page 4,High,(EllenBalResearchedGaroPeople)-[IS_TRUE]->(FamousResearcher),Ellen Bal is a famous researcher on the Garo people;
75,paper1,TheyAskIfWeEatFrogsBookByEllenBal,IS_TRUE,BookTitle,Page 4,High,(TheyAskIfWeEatFrogsBookByEllenBal)-[IS_TRUE]->(BookTitle),She wrote a book named They Ask If We Eat Frogs.
76,paper1,EthnicCommunityBasedDiscoursesUsedInPostColonialEraMentionedByBal,IS_TRUE,Discourse,Page 4,High,(EthnicCommunityBasedDiscoursesUsedInPostColonialEraMentionedByBal)-[IS_TRUE]->(Discourse),"In the first part, she mentions some ethnic community based discourses that were used in the post-colonial era."
77,paper1,HowOtherPeopleNamedGaroMentionedByBal,IS_TRUE,Naming,Page 4,High,(HowOtherPeopleNamedGaroMentionedByBal)-[IS_TRUE]->(Naming),"how other people named them Garo, frog eaters, primitive and islanders"
78,paper1,HowGaroDefineThemselvesMentionedByBal,IS_TRUE,SelfDefinition,Page 4,High,(HowGaroDefineThemselvesMentionedByBal)-[IS_TRUE]->(SelfDefinition),and also how Garo people define themselves in their opinion.
79,paper1,GaroConsiderThemselvesEthnicCommunity,IS_TRUE,Identity,Page 4,High,(GaroConsiderThemselvesEthnicCommunity)-[IS_TRUE]->(Identity),"She also mentioned that the Garo consider themselves an ethnic community, belonging together based on a shared identity and culture."
80,paper1,GaroMarriageSystemMentionedByBal,IS_TRUE,MarriageSystem,Page 4,High,(GaroMarriageSystemMentionedByBal)-[IS_TRUE]->(MarriageSystem),She also stated Garo's marriage system.
81,paper1,EthnogenesisInfluencedGaroSelfPerceptionAndGroupFormationMentionedByBal,IS_TRUE,Ethnogenesis,Page 4,High,(EthnogenesisInfluencedGaroSelfPerceptionAndGroupFormationMentionedByBal)-[IS_TRUE]->(Ethnogenesis),"In the third section, she described how ethnogenesis, the arrival of Christian missionaries, and then the introduction of Christianity influenced Garo's self-perception and group formation."
82,paper1,Islam2008FocusesOnOriginAndHistoryOfGaro,IS_TRUE,OriginHistory,Page 4,High,(Islam2008FocusesOnOriginAndHistoryOfGaro)-[IS_TRUE]->(OriginHistory),Islam (2008) also focuses on the origin and history of Garo.
83,paper1,GaroCommunity,ARE_INFLUENCED,ChristianMissionaries,Page 4,High,// PASSAGE: (GaroCommunity)-[ARE_INFLUENCED]->(ChristianMissionaries),"nesis, the arrival of Christian missionaries..."
84,paper1,GaroCommunity,ARE_INFLUENCED,Islam,Page 4,High,(GaroCommunity)-[ARE_INFLUENCED]->(Islam),Islam (2008) focuses on the origin and history of Garo cultural characteristics...
85,paper1,GaroMarriageRituals,ARE_STUDIED,"Islam, 2008",Page 4,High,"(GaroMarriageRituals)-[ARE_STUDIED]->(Islam, 2008)","Islam (2008) focuses on the origin and history of Garo cultural characteristics, specifically Garo marriage rituals..."
86,paper1,GaroCommunity,HAVE_BEEN_STUDIED,"Muhammed et al., 2011",Page 4,High,"(GaroCommunity)-[HAVE_BEEN_STUDIED]->(Muhammed et al., 2011)",Muhammed et al. (2011) explored diverse socio-economic and cultural aspects of the Garo people...
87,paper1,GaroCommunityBangladesh,HAVE_BEEN_STUDIED,"Das & Islam, 2005",Page 4,High,"(GaroCommunityBangladesh)-[HAVE_BEEN_STUDIED]->(Das & Islam, 2005)","there are some other studies conducted on the Garo community in Bangladesh that explore the psychosocial dimension of ethnicity (Das & Islam,2005)..."
88,paper1,GaroMarriageRituals,HAVE_BEEN_STUDIED,"Islam, 2008",Page 4,High,"(GaroMarriageRituals)-[HAVE_BEEN_STUDIED]->(Islam, 2008)","there are some other studies conducted on the Garo community in Bangladesh that explore marriage rituals (Islam, 2008)..."
89,paper1,GaroReligiousRitualsAndWorldview,HAVE_BEEN_STUDIED,"Khaleque,1983",Page 4,High,"(GaroReligiousRitualsAndWorldview)-[HAVE_BEEN_STUDIED]->(Khaleque,1983)","religious rituals and worldview (Khaleque,1983)..."
90,paper1,GaroFamilyStructureAndCulturalPatterns,HAVE_BEEN_STUDIED,"Sattar & Jalil, 2002",Page 4,High,"(GaroFamilyStructureAndCulturalPatterns)-[HAVE_BEEN_STUDIED]->(Sattar & Jalil, 2002)","family structure and cultural patterns (Sattar & Jalil, 2002)..."
91,paper1,MandiLanguage,STUDIED,"Burling, 2003 & 2004",Page 4,High,"(MandiLanguage)-[STUDIED]->(Burling, 2003 & 2004)","Focusing on the structure of the Garo language, Burling (2003 & 2004) worked on the grammar and the lexicon of the Mandi language..."
92,paper1,MandiLanguageLexiconAndGrammar,STUDIED,"Burling, 2003 & 2004",Page 4,High,"(MandiLanguageLexiconAndGrammar)-[STUDIED]->(Burling, 2003 & 2004)","Focusing on the structure of the Garo language, Burling (2003 & 2004) worked on the grammar and the lexicon of the Mandi language..."
93,paper1,MandiLinguisticVariation,STUDIED,"Kim et al., 2010",Page 4,High,"(MandiLinguisticVariation)-[STUDIED]->(Kim et al., 2010)",Kim et al. (2010) mentioned the linguistic variation within and among each of these six varieties of Mandi languages...
94,paper1,MandiSpeakersAttitudesTowardsTheirVarieties,STUDIED,"Kim et al., 2010",Page 4,High,"(MandiSpeakersAttitudesTowardsTheirVarieties)-[STUDIED]->(Kim et al., 2010)",Kim et al. (2010) mentioned the linguistic variation within and among each of these six varieties of Mandi languages investigating attitudes of Mandi speakers towards their own varieties...
95,paper1,GaroCommunity,HAVE_STRUGGLED,MaintainLanguageTransmission,Page 4,High,(GaroCommunity)-[HAVE_STRUGGLED]->(MaintainLanguageTransmission),Garo communities have struggled to maintain their language and transmit the language to the next generation from the very early stage...
96,paper1,UNKNOWN,UNKNOWN,UNKNOWN,Page 4,Low,Garo Women // ARE_KNOWN_AS // (Skilled Beauticians),"""Garo women are skilled beauticians"""
97,paper1,GaroLanguage,IS_MAINTAINED,ByGaroCommunityMembersInBangladesh,Page 5,High,// PASSAGE: (GaroLanguage)-[IS_MAINTAINED]->(ByGaroCommunityMembersInBangladesh)>,The Garo language is maintained among Garo community members in Bangladesh.
98,paper1,ResearchQuestion,IS,HowAndToWhatExtentDoGaroCommunityMembersInBangladeshMaintainTheirLanguage,Page 5,High,(ResearchQuestion)-[IS]->(HowAndToWhatExtentDoGaroCommunityMembersInBangladeshMaintainTheirLanguage)>,The research question guiding the exploration of the language maintenance experiences of Garo communities in Bangladesh is as follows: How and to what extent do the ethnic Garo community members in Bangladesh maintain their language inside and outside of the Garo community? Why do they prefer such language use?
99,paper1,LanguageMaintenance,IS_A_SIGNIFICANT_ISSUE,WhenACountryHasManyDiverseLanguages,Page 5,High,(LanguageMaintenance)-[IS_A_SIGNIFICANT_ISSUE]->(WhenACountryHasManyDiverseLanguages)>,Language maintenance is a significant issue if a country has many diverse languages.
100,paper1,LanguageShift,IS,TheChangeOfLanguageUseFromTheFirstLanguageToAnotherLanguageDueToTheInfluenceOfTheDominantLanguage,Page 5,High,(LanguageShift)-[IS]->(TheChangeOfLanguageUseFromTheFirstLanguageToAnotherLanguageDueToTheInfluenceOfTheDominantLanguage)>,"Without a strong desire and cultural roots, it is almost impossible to maintain an individual's first/ethnic language. According to Pauwels (2004), language maintenance denotes the continuing use of a language in the face of competition from regionally and socially more powerful languages. In contrast, language shift means the change of language use from the first language to another language due to the influence of the dominant language."
101,paper1,LanguageMaintenancePattern,VARIES_ACROSS_THE_WORLD,SomeMinorityLanguagesAreShiftedToMainstreamLanguagesWhileSomeAreMaintainedDueToTheStrongWillingnessAndEthnicityOfTheCommunityMembers,Page 5,High,(LanguageMaintenancePattern)-[VARIES_ACROSS_THE_WORLD]->(SomeMinorityLanguagesAreShiftedToMainstreamLanguagesWhileSomeAreMaintainedDueToTheStrongWillingnessAndEthnicityOfTheCommunityMembers)>,Language maintenance pattern varies across the world as some minority languages are shifted to mainstream languages while some are maintained due to the strong willingness and ethnicity of the community members.
102,paper1,TheoreticalFrameworkOfDomainApproach,IS_USED,InExploringTheLanguageMaintenanceOfGaroCommunityMembersInBangladesh,Page 5,High,(TheoreticalFrameworkOfDomainApproach)-[IS_USED]->(InExploringTheLanguageMaintenanceOfGaroCommunityMembersInBangladesh)>,"As part of exploring the language maintenance of Garo community members in Bangladesh, this study focuses on the extent of language use in different domains using the theoretical framework of the Domain Approach."
103,paper1,LanguageMaintenanceResearchInThe1980s,USED,Fishman’s (1965,Page 5,High,(LanguageMaintenanceResearchInThe1980s)-[USED]->(Fishman’s (1965) domain approach)>,"In the 1980s, language maintenance research used Fishman’s (1965) domain approach in"
104,paper1,GaroCommunity,IS_LOCATED_IN,Bangladesh,Page 5,High,// PASSAGE: (GaroCommunity)-[IS_LOCATED_IN]->(Bangladesh),The objective of this research is to explore the extent of language use in the Garo community in Bangladesh in terms of “domains” of use.
105,paper1,GaroCommunity,USES_LANGUAGE_IN,DifferentDomains,Page 5,High,(GaroCommunity)-[USES_LANGUAGE_IN]->(DifferentDomains),The objective of this research is to explore the extent of language use in the Garo community in terms of “domains” of use.
106,paper1,DifferentDomains,CONSIST_OF,"Family, Friendship, Church, Clubs, Work",Page 5,High,"(DifferentDomains)-[CONSIST_OF]->(Family, Friendship, Church, Clubs, Work)","For instance, Pütz (1991) mentioned family, friendship, church, clubs, and work;"
107,paper1,DifferentDomains,CONSIST_OF,"Education, Religion, SecularCommunityGroups, Work, TransactionalDomain, EthnicPress, Radio, Television, Video, Libraries",Page 5,High,"(DifferentDomains)-[CONSIST_OF]->(Education, Religion, SecularCommunityGroups, Work, TransactionalDomain, EthnicPress, Radio, Television, Video, Libraries)","Clyne (1991) examined eleven domains, including home/family, friends and neighbours, education, religion, secular community groups, work, transactional domain, ethnic press, radio, television and video, libraries."
108,paper1,GaroCommunityMembersInBangladesh,ARE_LOCATED,HaluaghatThana,Page 6,High,// PASSAGE: (GaroCommunityMembersInBangladesh)-[ARE_LOCATED]->(HaluaghatThana),Haluaghat thana which is located near the Bengali mainstream community
109,paper1,GaroCommunityMembersInBangladesh,ARE_LOCATED,PhulpurThana,Page 6,High,(GaroCommunityMembersInBangladesh)-[ARE_LOCATED]->(PhulpurThana),Phulpur thana which is located near the Mandi stream community
110,paper1,GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATION,HaluaghatThana,Page 6,High,(GaroCommunityMembers)-[HAVE_DIFFERENT_LANGUAGE_SITUATION]->(HaluaghatThana),to explore the difference in their language situation
111,paper1,GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATION,PhulpurThana,Page 6,High,(GaroCommunityMembers)-[HAVE_DIFFERENT_LANGUAGE_SITUATION]->(PhulpurThana),to explore the difference in their language situation
112,paper1,GaroCommunityMembers,USE_ETHNIC_LANGUAGE,FamilyDomain,Page 6,High,(GaroCommunityMembers)-[USE_ETHNIC_LANGUAGE]->(FamilyDomain),use their ethnic language mostly in four domains: ‘family’
