extraction_number,paper,subject,predicate,object,source_section,confidence,passage,sentence_ref
18,paper1,Garo,ORIGINATE_FROM,Tibet,Page 4,High,(Garo)-[:ORIGINATE_FROM]->(Tibet),"According to the Banglapedia (National Encyclopedia of Bangladesh), the antecedent home of Garo is located in the Xinjiang province, north-west of China. They left that place several thousand years ago and migrated to Tibet."
19,paper1,Garo,ORIGINATE_FROM,Northern Bangladesh,Page 5,High,(Garo)-[:ORIGINATE_FROM]->(Northern Bangladesh),Then they moved again to the north-eastern Indian Hill tracts and northern Bangladesh about 4500 years ago.
20,paper1,Garo,ORIGINATE_FROM,Greater Mymensingh area,Page 6,High,(Garo)-[:ORIGINATE_FROM]->(Greater Mymensingh area),"And finally, they migrated to the greater Mymensingh area and established a small feudal kingdom there."
21,paper1,Garo,HAVE_POPULATION,"150,000",Page 7,High,"(Garo)-[:HAVE_POPULATION]->(150,000)","In Bangladesh, the Garo population is nearly 150,000..."
22,paper1,Garo,FOLLOW_RELIGION,Christianity,Page 8,High,(Garo)-[:FOLLOW_RELIGION]->(Christianity),"The Garo ethnic community is living in Mymensingh and the highest number of Garo of Mymensingh is noticeable in Haluaghat, Netrokona, Mymensing, and Modhupur."
23,paper1,Garo,LIVE IN,Mymensingh,Page 9,High,(Garo)-[:LIVE IN]->(Mymensingh),"They also live in scattered ways in Sherpur, Tangail, and Jamalpur districts."
24,paper1,Garo,HAS_DIALECTS,"A’beng, A’tong, A’we, Chisak, Matchi, Dual, Ganching, Chibok",Page 10,High,"(Garo)-[:HAS_DIALECTS]->(A’beng, A’tong, A’we, Chisak, Matchi, Dual, Ganching, Chibok)","They have eight dialects such as A’beng, A’tong, A’we, Chisak, Matchi, Dual, Ganching (also known as Gara), and Chibok."
25,paper1,Garo,SPEAK,A’beng,Page 11,High,(Garo)-[:SPEAK]->(A’beng),Though most of the Garo people of plain land speak A’beng...
26,paper1,Garo,USE,Roman alphabet,Page 12,High,(Garo)-[:USE]->(Roman alphabet),...they understand other dialects as well. The Garo in Bangladesh call their language ‘Mandi khusik’...
27,paper1,Garo,CALL THEIR LANGUAGE,Mandi,Page 13,High,(Garo)-[:CALL THEIR LANGUAGE]->(Mandi),They use the Roman alphabet as they do not have their own script.
28,paper1,Garo,USE,Bangla words and sentence structure,Page 14,High,(Garo)-[:USE]->(Bangla words and sentence structure),Burling (1963) and Burling (2004) assert that Mandi bears a substantial linguistic impact from the Bangla language...
29,paper1,Garo,CALL THEM,Mandi,Page 15,High,(Garo)-[:CALL THEM]->(Mandi),"...They call each other Mandi, while mainstream society, foreigners, and writers prefer to call them Garo."
30,paper1,Garo,LANGUAGE,Garo language,Page 16,High,(Garo)-[:LANGUAGE]->(Garo language),"For that reason, it is found that the Garo language..."
31,paper1,Mandi,IS_KNOWN_AS,Garo,Page 3,High,(Mandi)-[:IS_KNOWN_AS]->(Garo),"They prefer to call them Mandi, while mainstream society..."" (Page not provided)"
32,paper1,Garo,HAVE WRITTEN_ABOUT,Garo language,Page 122,High,(Garo)-[:HAVE WRITTEN_ABOUT]->(Garo language),This study uses both the Garo language and Mandi as the language of the Garo community in Bangladesh.
33,paper1,Mandi,BEHAVE_SOMEWHAT SIMILAR_TO,Garo,Page 122,High,(Mandi)-[:BEHAVE_SOMEWHAT SIMILAR_TO]->(Garo),"For that reason, it is found that the Garo language and Garo people have been written in published articles..."
34,paper1,GaroLanguage,HISTORY,OriginOfTheLanguage,Page 4,High,(GaroLanguage)-[:HISTORY]->(OriginOfTheLanguage),"Burling (1963) first wrote on the Garo people of greater Mymensingh, but his study was anthropological. In his studies, he mentioned only the history of the origin of the Garo language."" (3)"
35,paper1,GaroCommunity,BELONGINGTOETHNICGROUP,SharedIdentityAndCulture,Page 4,High,(GaroCommunity)-[:BELONGINGTOETHNICGROUP]->(SharedIdentityAndCulture),"Ellen Bal is a famous researcher on the Garo people; she wrote a book named They Ask If We Eat Frogs. In the first part, she mentions some ethnic community based discourses that were used in the post-colonial era, how other people named them Garo, frog eaters, primitive and islanders and also how Garo people define themselves in their opinion."" (3)"
36,paper1,GaroCommunity,MARRIAGESYSTEM,TraditionalMarriage,Page 4,High,(GaroCommunity)-[:MARRIAGESYSTEM]->(TraditionalMarriage),"In the third section, she described how ethnogenesis, the arrival of Christian missionaries, and then the introduction of Christianity influenced Garo's self-perception and group formation. Islam (2008) also focuses on the origin and history of Garo cultural characteristics, specifically Garo marriage rituals."" (3)"
37,paper1,GaroCommunity,CULTURALPATTERN,EthnicCommunity,Page 4,High,(GaroCommunity)-[:CULTURALPATTERN]->(EthnicCommunity),"In the same way, there are some other studies conducted on the Garo community in Bangladesh that explore the psychosocial dimension of ethnicity (Das & Islam,2005); marriage rituals (Islam, 2008); religious rituals and worldview (Khaleque,1983); family structure and cultural patterns (Sattar & Jalil, 2002)."" (4)"
38,paper1,MandiLanguage,LINGUISTICFEATURE,VocabularyOfMandi,Page 4,High,(MandiLanguage)-[:LINGUISTICFEATURE]->(VocabularyOfMandi),"Kim et al. (2010) mentioned the linguistic variation within and among each of these six varieties of Mandi languages investigating attitudes of Mandi speakers towards their own varieties."" (5)"
39,paper1,MandiLanguage,WORKED_ON,Grammar and Lexicon,Page 4,High,(MandiLanguage)-[:WORKED_ON]->(Grammar and Lexicon),"Burling (2003 & 2004) worked on the grammar..."" (Line 2)"
40,paper1,KimEtAl,MENTIONS,Linguistic Variation within and among Mandi Languages,Page 4,High,(KimEtAl)-[:MENTIONS]->(Linguistic Variation within and among Mandi Languages),"Kim et al. (2010) mentioned..."" (Line 3)"
41,paper1,GaroCommunities,HAVE_STRUGGLED,Maintaining their Language,Page 4,High,(GaroCommunities)-[:HAVE_STRUGGLED]->(Maintaining their Language),"Garo communities have struggled..."" (Line 4)"
42,paper1,Issue,HAS_NOT BEEN MENTIONED,Previous Research on Research Papers,Page 4,High,(Issue)-[:HAS_NOT BEEN MENTIONED]->(Previous Research on Research Papers),"This particular issue has not been mentioned..."" (Line 5)"
43,paper1,Research,ATTEMPTS_TO_EXPLORE,Exploration of Language Maintenance and Transmission,Page 4,High,(Research)-[:ATTEMPTS_TO_EXPLORE]->(Exploration of Language Maintenance and Transmission),"This research attempts to explore..."" (Line 6)"
44,paper1,GaroLanguage,KNEW_AS,Language_Maintained_by_Garo_Community_Members_in_Bangladesh,Page 5,High,(GaroLanguage)-[:KNEW_AS]->(Language_Maintained_by_Garo_Community_Members_in_Bangladesh),"The Chittagong University Journal of Social Sciences"" (Page X)"
45,paper1,Language_Maintenance,DEFINED_AS,Continuing_Use_Direction,Page 5,High,(Language_Maintenance)-[:DEFINED_AS]->(Continuing_Use_Direction),"The Chittagong University Journal of Social Sciences"" (Page X)"
46,paper1,Study_Research,FOCUSED_ON,Extent_of_Language_Use_in_Garo_Community_in_Bangladesh,Page 5,High,(Study_Research)-[:FOCUSED_ON]->(Extent_of_Language_Use_in_Garo_Community_in_Bangladesh),"The Chittagong University Journal of Social Sciences"" (Page X)"
47,paper1,Fishman,USED_TO_INVESTIGATE,Domain_Approach,Page 5,High,(Fishman)-[:USED_TO_INVESTIGATE]->(Domain_Approach),"Theoretical_Framework"" (Page X)"
48,paper1,Pauwels,DISCUSSED,Language_Maintenance_and_Ethnic_Community_Language,Page 5,High,(Pauwels)-[:DISCUSSED]->(Language_Maintenance_and_Ethnic_Community_Language),"Theoretical_Framework"" (Page X)"
49,paper1,Domains,MENTIONED_AS_EFFECTIVE INMAINTENANCE_LOCATIONS,"Family, Friendship, Church, Clubs, Work, Transactional_Domain, Ethnic_Press, Radio, Television, Video, Libraries",Page 5,High,"(Domains)-[:MENTIONED_AS_EFFECTIVE INMAINTENANCE_LOCATIONS]->(Family, Friendship, Church, Clubs, Work, Transactional_Domain, Ethnic_Press, Radio, Television, Video, Libraries)","Theoretical_Framework"" (Page X)"
50,paper1,Subject,PREDICATE,Object,Page 1,High,(Subject)-[:PREDICATE]->(Object),GaroWomen are known as skilled beauticians in Bangladesh because they socialise easily with Bengali friends.
51,paper1,GaroWomen,ARE_KNOWN_AS,Home/Family,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Home/Family),"home/family, friends and neighbours..."
52,paper1,GaroWomen,ARE_KNOWN_AS,Friends,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Friends),"home/family, friends and neighbours..."
53,paper1,GaroWomen,ARE_KNOWN_AS,Neighbours,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Neighbours),"home/family, friends and neighbours..."
54,paper1,GaroWomen,ARE_KNOWN_AS,Education,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Education),"home/family, friends and neighbours..."
55,paper1,GaroWomen,ARE_KNOWN_AS,Religion,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Religion),"home/family, friends and neighbours..."
56,paper1,GaroWomen,ARE_KNOWN_AS,Secular Community Groups,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Secular Community Groups),"home/family, friends and neighbours..."
57,paper1,GaroWomen,ARE_KNOWN_AS,Work,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Work),"work, transactional domain..."
58,paper1,GaroWomen,ARE_KNOWN_AS,Transactional Domain,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Transactional Domain),"work, transactional domain..."
59,paper1,GaroWomen,ARE_KNOWN_AS,Ethnic Press,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Ethnic Press),libraries. They all discovered...
60,paper1,GaroWomen,ARE_KNOWN_AS,Radio,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Radio),libraries. They all discovered...
61,paper1,GaroWomen,ARE_KNOWN_AS,Television,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Television),libraries. They all discovered...
62,paper1,GaroWomen,ARE_KNOWN_AS,Video,Page 124,High,(GaroWomen)-[:ARE_KNOWN_AS]->(Video),libraries. They all discovered...
63,paper1,GaroWomen,ARE_KNOWN_AS,SkilledBeauticians,Page 16,High,(GaroWomen)-[:ARE_KNOWN_AS]->(SkilledBeauticians),"However, some families are taking individual initiatives to organise religious programs and rituals in Mandi at their home every Sunday, which day is only a great day to maintain the Mandi language in the religious domain. This also proves the willingness of participants to preserve their language by using it in religious practices."" (Page X)"
64,paper1,GaroWomen,LIVING_LOCATION,Bangladesh,Page 1,High,(GaroWomen)-[:LIVING_LOCATION]->(Bangladesh),Language maintenance among Garo community members in Bangladesh
65,paper1,GaroWomen,USED_LANGUAGE_IN,"Family,Friendship,Religious,MEDIA",Page 1,High,"(GaroWomen)-[:USED_LANGUAGE_IN]->(Family,Friendship,Religious,MEDIA)",Language use of the informants of this study in the religious and media domain is also brought into consideration to explore the extent of language maintenance among the Garo community in Bangladesh.
66,paper1,GaroWomen,RESEARCH AIM,Language Maintenance Among Garo Community Members,Page 6,High,(GaroWomen)-[:RESEARCH AIM]->(Language Maintenance Among Garo Community Members),"This study aims to examine language maintenance and the factors associated with it among Garo community members using in-depth qualitative research methods."" (Page 5.1)"
67,paper1,GaroWomen,STUDY_LOCATION,"Bengal Mainstream Community, Mandi Stream Community",Page 6,High,"(GaroWomen)-[:STUDY_LOCATION]->(Bengal Mainstream Community, Mandi Stream Community)","This research has been conducted on two different places in Bangladesh: Haluaghat thana which is located near the Bengali mainstream community and Phulpur thana which is located near the Mandi stream community."" (Page 5.1)"
68,paper1,GaroWomen,PARTICIPANTS,Around 19 Garo Members from Two Different Regions in Mymensingh Division,Page 6,High,(GaroWomen)-[:PARTICIPANTS]->(Around 19 Garo Members from Two Different Regions in Mymensingh Division),"For the current research, around 19 Garo members from two different regions in the Mymensingh division are randomly chosen using the snowball technique."" (Page 5.1)"
69,paper1,GaroWomen,AGES,20-90 Years Old,Page 6,High,(GaroWomen)-[:AGES]->(20-90 Years Old),"Of 19 participants, about ten are female and nine are male, with ages varying from twenty to ninety years old (see Appendix 1)."" (Page 5.1)"
70,paper1,Subjects,ARE,Participants,Page 6,High,(Subjects)-[:ARE]->(Participants),"ipants, about ten are female and nine are male..."" (Appendix 1)"
71,paper1,Subjects,DIVIDED INTO,Participants,Page 6,High,(Subjects)-[:DIVIDED INTO]->(Participants),"Participants are divided into two age groups..."" (Appendix 1)"
72,paper1,Subjects,EXPLAIN WHY,Age group 35+,Page 6,High,(Subjects)-[:EXPLAIN WHY]->(Age group 35+),"This is because 35 and above age group is significant due to the factors like career progression, lifestyle choices, family planning, and health concerns."" (Appendix 1)"
73,paper1,Subjects,NUMBER_OF_PARTICIPANTS,Nine,Page 6,High,(Subjects)-[:NUMBER_OF_PARTICIPANTS]->(Nine),"Six females and three males are..."" (Appendix 1)"
74,paper1,Chittagong University Journal of Social Sciences,ARE_COLLECTED,Participants from Phulpur Thana and Haluaghat Thana,Page 7,High,(Chittagong University Journal of Social Sciences)-[:ARE_COLLECTED]->(Participants from Phulpur Thana and Haluaghat Thana),"Participants are also included from different professional groups..."" (Page X)"
75,paper1,Chittagong University Journal of Social Sciences,USE_DATA_COLLECTION_METHODS,Semi-structured interviews,Page 7,High,(Chittagong University Journal of Social Sciences)-[:USE_DATA_COLLECTION_METHODS]->(Semi-structured interviews),"After that, data were transcribed and coded according to the themes..."" (Page X)"
76,paper1,Chittagong University Journal of Social Sciences,USE_DATA_ANALYSIS_METHOD,Thematic analysis,Page 7,High,(Chittagong University Journal of Social Sciences)-[:USE_DATA_ANALYSIS_METHOD]->(Thematic analysis),"Finally, thematic analysis is used in analyzing and discussing the data."" (Page X)"
77,paper1,Chittagong University Journal of Social Sciences,RELEVANT_DOMAIN,Family domain,Page 7,High,(Chittagong University Journal of Social Sciences)-[:RELEVANT_DOMAIN]->(Family domain),"This section presents how and to what extent participants use language..."" (Page X)"
78,paper1,Chittagong University Journal of Social Sciences,RELEVANT_DOMAIN,Friendship domain,Page 7,High,(Chittagong University Journal of Social Sciences)-[:RELEVANT_DOMAIN]->(Friendship domain),"For example, the official language in Bangladesh is Bangla..."" (Page X)"
79,paper1,Chittagong University Journal of Social Sciences,RELEVANT_DOMAIN,Religious domain,Page 7,High,(Chittagong University Journal of Social Sciences)-[:RELEVANT_DOMAIN]->(Religious domain),"This section presents how and to what extent participants use language..."" (Page X)"
80,paper1,Chittagong University Journal of Social Sciences,RELEVANT_DOMAIN,Media domain,Page 7,High,(Chittagong University Journal of Social Sciences)-[:RELEVANT_DOMAIN]->(Media domain),"For example, the official language in Bangladesh is Bangla..."" (Page X)"
81,paper1,Garo community people,PREFERRED_LANGUAGE,Bangla,Page 7,High,(Garo community people)-[:PREFERRED_LANGUAGE]->(Bangla),"However, work and education domains are integrated into the discussion of friendship domain."" (Page X)"
82,paper1,GaroWomen,CAN_NOT_USE_GARO_AT_WORK,CannotSpeakInWorkplaces,Page 126,High,(GaroWomen)-[:CAN_NOT_USE_GARO_AT_WORK]->(CannotSpeakInWorkplaces),language in Bangladesh is Bangla and Garo community people are not able to speak in Garo at their work places.
83,paper1,WorkAndEducationIntegratedIntoFriendships,INTEGRATED_WITH_EDUCATION,FriendshipDiscussions,Page 126,High,(WorkAndEducationIntegratedIntoFriendships)-[:INTEGRATED_WITH_EDUCATION]->(FriendshipDiscussions),work and education domains are integrated into the discussion of friendship domain.
84,paper1,GaroWomen,USE,MandiLanguage,Page 3,High,(GaroWomen)-[:USE]->(MandiLanguage),Example 1(M1)
85,paper1,Parents,USE,MandiLanguage,Page 3,High,(Parents)-[:USE]->(MandiLanguage),Example 1(M1)
86,paper1,Grandparents,PREFERRED_LANGUAGE,MandiLanguage,Page 6,High,(Grandparents)-[:PREFERRED_LANGUAGE]->(MandiLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
87,paper1,Children,LEARN,BanglaLanguage,Page 6,High,(Children)-[:LEARN]->(BanglaLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
88,paper1,FamilyMembers,USE,MandiLanguage,Page 6,High,(FamilyMembers)-[:USE]->(MandiLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
89,paper1,Parents,TEACH,Grandparents,Page 6,High,(Parents)-[:TEACH]->(Grandparents),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
90,paper1,Children,STUDY,BanglaLanguage,Page 6,High,(Children)-[:STUDY]->(BanglaLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
91,paper1,FamilyMembers,PREFERRED_LANGUAGE,BanglaLanguage,Page 6,High,(FamilyMembers)-[:PREFERRED_LANGUAGE]->(BanglaLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
92,paper1,Grandparents,TEACH,Children,Page 6,High,(Grandparents)-[:TEACH]->(Children),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
93,paper1,Parents,KNOW,MandiLanguage,Page 6,High,(Parents)-[:KNOW]->(MandiLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
94,paper1,Children,LEARN,MandiLanguage,Page 6,High,(Children)-[:LEARN]->(MandiLanguage),"Chowdhury & Sol, 2021; Clyne,1991; Clyne & Kipp, 1999; Pauwels, 1986; Pütz, 1999"
95,paper1,Children,ARE_BEING_TAUGHT,Mandi_language,Page 8,High,(Children)-[:ARE_BEING_TAUGHT]->(Mandi_language),"Their mothers are trying to teach them the Mandi language."" (Page X)"
96,paper1,School-going_children,LEARNING,Bangla_language,Page 8,High,(School-going_children)-[:LEARNING]->(Bangla_language),"The school-going children are also learning Bangla language more than the Mandi language as they spend most of the time with..."" (Page X)"
97,paper1,Interview_data,PRESENTED_IN_TRANSLATED_FORM,using_serial_of_participants_in Appendix (Table A4,Page 8,High,(Interview_data)-[:PRESENTED_IN_TRANSLATED_FORM]->(using_serial_of_participants_in Appendix (Table A4),"3 Interview data is presented here in translated form using serial of participants mentioned in the Appendix (Table A4). M stands for Male participants, while F stands for Female participants."" (Page X)"
98,paper1,M,STANDS_FOR,Male,Page 8,High,(M)-[:STANDS_FOR]->(Male),"M stands for Male participants"" (Page X)"
99,paper1,F,STANDS_FOR,Female,Page 8,High,(F)-[:STANDS_FOR]->(Female),"F stands for Female participants"" (Page X)"
100,paper1,Bangla-speaking participants,USE_MANDI_WITH_SPAUSE,Mandi speakers,Page 9,High,(Bangla-speaking participants)-[:USE_MANDI_WITH_SPAUSE]->(Mandi speakers),"Around 15 participants speak with their spouse in Mandi except 4 participants where 3 males and 1 female; their age is above 35 and they are from higher educated class among the nineteen participants from two several villages (one village is close to the Bengali mainstream community and another village is close to the Mandi stream community)."" (Page X)"
101,paper1,Bangla-speaking participants,USE_MIXED_LANGUAGE_WITH_MANDI,Mandi speakers,Page 9,High,(Bangla-speaking participants)-[:USE_MIXED_LANGUAGE_WITH_MANDI]->(Mandi speakers),"Example 3 (M1): I try, but it gets mixed automatically with Bangla, Mandi, and English."" (Page X)"
102,paper1,Bangla-speaking participants,USE_MANDI_WITH_SIBLINGS,Mandi speakers,Page 9,High,(Bangla-speaking participants)-[:USE_MANDI_WITH_SIBLINGS]->(Mandi speakers),"All participants use Mandi language with their siblings. If children try to speak Bangla with their siblings as the school influences them, their mother consciously encourages their children not to speak Bangla with their siblings, but the situation is different when the parents are educated and live in a city."" (Page X)"
103,paper1,Bangla-speaking participants,USE_MANDI_WITH_GANDFATHERS,Mandi speakers,Page 9,High,(Bangla-speaking participants)-[:USE_MANDI_WITH_GANDFATHERS]->(Mandi speakers),"The findings of this study show that almost all interviewees speak the Mandi language with their grandparents because some said they do not understand Bangla very well. Mandi language maintenance is higher at 128"" (Page X)"
104,paper1,viewees,SPEAK,Mandi language,Page 9,High,(viewees)-[:SPEAK]->(Mandi language),"viewees speak the Mandi language with their grandparents because some said they do not understand Bangla very well."" (Page X)"
105,paper1,Mandi language,MAINTENANCE_IS_HIGHER,128,Page 9,High,(Mandi language)-[:MAINTENANCE_IS_HIGHER]->(128),"Mandi language maintenance is higher at 128."" (Page X)"
106,paper1,GaroCommunity,LANGUAGE_MAINTENANCE,MandiLanguage,Page 10,High,(GaroCommunity)-[:LANGUAGE_MAINTENANCE]->(MandiLanguage),"Language maintenance among Garo community members in Bangladesh home with grandparents in this study. Hence the low Bangla proficiency of grandparents facilitates Mandi language maintenance in the family domain."" (Page X)"
107,paper1,Highly_Educed_People,LANGUAGE_USE,Both_Mandi_and_Bangla,Page 10,High,(Highly_Educed_People)-[:LANGUAGE_USE]->(Both_Mandi_and_Bangla),"The findings of this study demonstrate that highly educated participants maintain their language in one way, and the people who are not literate or highly educated maintain their language differently. Around five highly educated participants speak both Mandi and Bangla even though they start with Mandi greetings and end conversations with Bangla."" (Page X)"
108,paper1,Mandi_Speakers,TRIED_TOSPEAK_IN_MANDI,Relatives,Page 10,High,(Mandi_Speakers)-[:TRIED_TOSPEAK_IN_MANDI]->(Relatives),"I try to speak Mandi with our relatives. If I talk to them in Bangla, our older relatives may assume that I am speaking to them in Bangla although I am a Mandi."" (Page X)"
109,paper1,Mandi_Speakers,USED_BANGLA_WITH_RELATIVES,End_conversation,Page 10,High,(Mandi_Speakers)-[:USED_BANGLA_WITH_RELATIVES]->(End_conversation),"However, they try to speak Mandi with their relatives who are old in age and have no literacy because they do not understand Bangla very well. The report,"" Example 6 (M1): I try to speak Mandi with our relatives. If I talk to them in Bangla, our older relatives may assume that I am speaking to them in Bangla although I am a Mandi."" (Page X)"
110,paper1,Mandy_Speakers,USE_REGIONAL_ACCENTS,Mymensingh_Dialect,Page 10,High,(Mandy_Speakers)-[:USE_REGIONAL_ACCENTS]->(Mymensingh_Dialect),"However, we try to use the standard Bangla language correctly when talking to our community's highly educated people. However, we cannot avoid the local Mymensingh accent in our conversation."" (Page X)"
111,paper1,Mandi_Speakers,ADAPT_LANGUAGE,Socio_Economic_Factors,Page 10,High,(Mandi_Speakers)-[:ADAPT_LANGUAGE]->(Socio_Economic_Factors),"The above example indicates that using Bangla with relatives might not be accepted positively in their communities. They think of it as part of disrespect when they are talking in another language with their relatives. They also recognise the influence of regional accents in using mainstream language in terms of education and socio-economic background."" (Page X)"
112,paper1,Using Bangla with relatives,ARE_KNOWN_AS,perceived negative acceptance,Page 129,High,(Using Bangla with relatives)-[:ARE_KNOWN_AS]->(perceived negative acceptance),line 1
113,paper1,using Bangla with relatives,ARE_KNOWN_AS,disrespect when talking in another language,Page 129,High,(using Bangla with relatives)-[:ARE_KNOWN_AS]->(disrespect when talking in another language),line 2
114,paper1,ExtendedFamilyAndRelatives,ARE_KNOWN_AS,MandiLanguagePreservers,Page 11,High,(ExtendedFamilyAndRelatives)-[:ARE_KNOWN_AS]->(MandiLanguagePreservers),"The interview data show that extended family and relatives help them to maintain the Mandi language in their communities."" (Page X)"
115,paper1,PeopleAged35OrAbove,PREFER,BanglaLanguage,Page 11,High,(PeopleAged35OrAbove)-[:PREFER]->(BanglaLanguage),"A high preference for using Mandi was found at home among people aged 35 or above."" (Page X)"
116,paper1,YoungGenerationsBelow35,TEND_TO_PREFER,BenglaLanguage,Page 11,High,(YoungGenerationsBelow35)-[:TEND_TO_PREFER]->(BenglaLanguage),"It is found that people aged below 35 tend to prefer Bangla at home, and in their opinion, no one speaks Mandi here..."" (Page X)"
117,paper1,Study,SUPPORTS,FindingsOfPreviousStudies,Page 11,High,(Study)-[:SUPPORTS]->(FindingsOfPreviousStudies),"The result of this study shows that most of the participants and users use and prefer Mandi language at home."" (Page X)"
