subject,predicate,object,sentence_location
GaroCommunity,EXPERIENCES_LANGUAGE_CONTACT,BanglaLanguage,null
GaroCommunity,EXPERIENCES_LANGUAGE_CONTACT,EnglishLanguage,null
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,HomeDomain,null
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,FriendshipDomain,null
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,ReligionDomain,null
GaroCommunity,EXPERIENCES_LANGUAGE_USE_AND_PREFERENCE_IN,MediaDomain,null
GaroCommunity,USES_AND_PREFERES,MandiLanguage,null
GaroCommunity,USES_AND_PREFERES,BanglaLanguage,null
GaroCommunity,HAS_LANGUAGE,GaroLanguage,null
GaroCommunity,HAS_LANGUAGE,Garotongue,null
GaroCommunity,HAS_HOPE,SustenanceOfGaroLanguage,null
GaroCommunity,HAS_HOPE,InitiativesOfTheGovernmentThroughNationalLanguagePolicies2010,null
GaroCommunity,IS_LOCATED,Meghalaya,null
GaroCommunity,IS_LOCATED,Assam,null
GaroCommunity,HAS_CENSUS_POPULATION,347419,null
GaroCommunity,PRAY,Church,null
GaroCommunity,PRAY,Home,null
GaroCommunity,ARE_INFLUENCED_BY,ChristianMissionaries,null
GaroCommunity,ARE_INFLUENCED_BY,Islam,null
GaroCommunity,USE_LANGUAGE,Bangla,null
GaroCommunity,USE_LANGUAGE,Mandi,null
GaroCommunity,USE,MandiLanguage,null
GaroCommunity,USE,BanglaLanguage,null
GaroCommunity,USE,DifferentDomains,null
GaroCommunity,USE,BanglaAsOfficialLanguageInBangladesh,null
GaroCommunity,USE,StandardBanglaLanguage,null
GaroCommunity,USE,StandardBanglaLanguageCorrectly,null
GaroCommunity,USE,RegionalDialect,null
GaroCommunity,IS_LOCATED_IN,Bangladesh,null
GaroCommunity,IS_LOCATED_IN,HaluaghatPhulpur,null
MandiLanguage,IS_UNDER_PRESSURE_FROM,BanglaLanguage,null
MandiLanguage,IS_UNDER_PRESSURE_FROM,EnglishLanguage,null
MandiLanguage,IS_STUDIED_BY,"Burling, 2003 & 2004",null
MandiLanguage,IS_USED_MOSTLY,FamilyDomain,null
MandiLanguage,IS_USED_WITH,Parents,null
MandiLanguage,USE_ROMAN_ALPHABET,Write,null
MandiLanguage,IS_STUDIED,"Burling, 2003 & 2004",null
MandiLanguage,IS_STUDIED,"Kim et al., 2010",null
MandiLanguage,IS_UNDER_PRESSURE,BanglaLanguage,null
BanglaLanguage,DOMINATES_OVER,MandiLanguage,null
MediaDomain,IS_IMPORTANT,MaintainLanguage,null
BangladeshPeople,SPEAK_AS_FIRST_LANGUAGE,Bangla,null
EthnicLanguagesInBangladesh,NUMBER_OF,44,null
StateOfficialActivitiesInBangladesh,LANGUAGE,Bangla,null
LanguagePolicyInBangladesh,IGNORING,MultilingualMakeup,null
EthnicCommunityGroupsMarginalizationInBangladesh,CAUSE,LanguagePolicy,null
GovernmentDecision2009,DECIDED_TO,MotherTongueBasedEducation,null
NCTBInitiative,TOOK_THE_INITIATIVE,MotherTongueBasedEducation,null
GaroCommunityInBangladesh,ARE_FIRST_MENTIONED,Tolemi-200AD,null
GaroCommunityInBangladesh,ARE_STUDIED,LanguageMaintenance,null
GaroCommunityInBangladesh,HAVE_PSYCHOSOCIAL_DIMENSION_OF_ETHNICITY_STUDIED,"Das & Islam,2005",null
GaroCommunityInBangladesh,ARE_STUDYED,LanguageMaintenance,null
GaroWomen,ARE_KNOWN_AS,SkilledBeauticians,null
GaroWomen,ARE_KNOWN_AS,ResidentsLivingCloseMainstreamCommunity,null
GaroWomen,ARE_KNOWN_AS,BilingualSpeakers,null
GaroWomen,ARE_KNOWN_AS,ResidentsWhoLiveCloseToMainstreamCommunity,null
GaroWomen,ARE_FROM,PhulpurThana,null
GaroWomen,ARE_FROM,TwoVillages,null
GaroWomen,SPEAK,BanglaAndMandiWithSpouses,null
GaroWomen,INITIATE_MAINTAINING_MANDI,AtHome,null
GaroWomen,HAVE_A_TRADITION,TraditionalBeautyRituals,null
GaroWomen,ARE_FAMILIAR_WITH,BanglaLanguage,null
GaroWomen,ARE_LOCATED_IN,Bangladesh,null
GaroWomen,PRACTICE,ReligiousPractices,null
GaroWomen,USE_LANGUAGE_FOR_RELIGIOUS_PRACTICES,Bangla,null
GaroWomen,USE_LANGUAGE_FOR_RELIGIOUS_PRACTICES,Mandi,null
GaroWomen,REASON_FOR_USING_BANGLA,TranslationOfTheBible,null
GaroWomen,REASON_FOR_USING_BANGLA,LackOfPracticeInMandi,null
GaroWomen,CANNOT_SPEAK_IN,Mandi,null
GaroWomen,BELONG_TO,AgeGroup_20-35,null
GaroWomen,BELONG_TO,AgeGroup_35-95,null
GaroWomen,ORIGINATE_FROM,HaluaghatPhulpur,null
GaroWomen,HAVE_AVERAGE_AGE,30,null
GaroWomen,HAVE_AVERAGE_HEIGHT,140cm,null
GaroWomen,ARE_DISTRIBUTED_IN_AGE,"M3, M6",null
GaroWomen,INITIATE,RetainingMandiUse,null
GaroWomen,SPEAK_LANGUAGE_WITH_GRANDPARENTS,MandiLanguage,null
GaroWomen,ARE_MORE_FAMILIAR_WITH,BanglaLanguage,null
GaroWomen,UNDERGO_A_RITUAL,M=3,null
GaroWomen,USE_AS_MANY_AS,140,null
GovernmentBangladesh-2009,DECIDED,ProvideMotherTongueEducation,null
NationalCurriculumTextbookBoard,TOOK_INITIATIVE,IntroduceTextbooks,null
NCTB-2010,INTRODUCED_TEXTBOOKS,ChakmaMarmaSantalGaroTripuraOraonLanguages,null
EthnicCommunityPeopleHomeUsage,VARIES,80%To100%,null
EthnicCommunityLanguageUsageAtHome,DIFFERS,ChittagongHillTractsNorthBengal,null
MeiteiSpeakersSurveySylhetDivision-2008,USE_MOTHER_TONGUE,98%,null
MeiteiNeighboursInteraction-2008,USE_MOTHER_TONGUE,97%,null
SantaliSpeakersSurvey-2010,USE_MOTHER_TONGUE,SimilarResults,null
WarJaintiaSpeakersSurvey-2007,USE_MOTHER_TONGUE,SimilarResults,null
BishnupriyaSpeakersSurvey-2008,USE_MOTHER_TONGUE,SimilarResults,null
Garo,ARE_KNOWN_AS,Garoini,null
Garo,WERE_FIRST_APPELLED,Garoini,null
Garo,NAME_EXTENDED,All_inhabitants_of_the_hills,null
Garo,WERE_CHANGED,From_Gara_to_Garo,null
Garo,HAVE_TWO_BASIC_GROUPS,Lamdani_or_Plain_Garo_and_Achick_or_Hill_Garo,null
Garo,WERE_FIRST_INTRODUCED,Mymensingh district,null
Garo,MIGRATION,To_Tibet,null
Garo,MIGRATION,To_north-eastern_Indian_Hill_tracts_and_northern_Bangladesh,null
Garo,MIGRATION,To_the_greater_Mymensingh_area,null
Garo,LEFT_BANGLADESH,1964,null
Garo,LIVE_IN,Mymensingh and high,null
Garo,ARE_A_SMALL_ETHNIC_GROUP,Bangladesh,null
Garo,EXPERIENCE_EXCLUSION,IndigenousChildrenFromPrimaryEducation,null
Garo,HAVE_A_NOTION_OF_SEPARATE_HOMELAND,Bengal,null
Garo,ANTECEDENT_HOME,"Xinjiang province, north-west of China",null
Garo,MIGRATED,Tibet,null
Garo,MIGRATED,north-eastern Indian Hill tracts and northern Bangladesh,null
Garo,ESTABLISHED_SMALL_FEUDAL_KINGDOM,greater Mymensingh area,null
Garo,RETURNED_TO_BANGLADESH,1971,null
Garo,POPULATION,"nearly 150,000",null
Garo,HAVE_LANGUAGE,Maintained,null
Garos,WERE_FIRST_INTRODUCED,In_Mymensingh_district,null
Garos,EMERGENCE_OF_SEPARATE_HOMELAND,In_Bengal_by_the_British_administration,null
Garos,LEFT_BANGLADESH,In_1964,null
Garo_antecedent_home,LOCATION,"Xinjiang_province, north-west of China",null
Garo_presence,INCREASING_GRADUALLY,In_Bangladesh_since_1971,null
Garo_population_in_Bangladesh,NEARLY,"150,000",null
Garo_ethnic_community,LIVING,In_Mymensingh,null
Garo_religion,FOLLOW,Christianity,null
GaroPopulation,IS,Approximately150000,null
GaroReligion,IS_PRACTICED_BY,Christianity,null
GaroLocation,LIVES_IN,Mymensingh,null
GaroLocation,LIVES_IN,Netrokona,null
GaroLocation,LIVES_IN,Modhupur,null
GaroLocation,LIVES_IN,ScatteredWaysInSherpur,null
GaroLocation,LIVES_IN,Tangail,null
GaroLocation,LIVES_IN,JamalpurDistricts,null
GaroDialects,HAS,Eight,null
GaroDialect,IS,A'beng,null
GaroLanguageName,IS_CALLED,MandiKhusik,null
GaroLanguageName,IS_CALLED,GaroLanguage,null
GaroLanguageName,IS_CALLED,'Mandi khusik',null
GaroLanguage,IS_THE,LanguageOfGaroCommunityInBangladesh,null
GaroLanguage,IS_MAINTAINED,ByGaroCommunityMembersInBangladesh,null
GaroLanguage,IS_USED_FOR,InstructionFromClass1To3,null
GaroLanguage,HAS_SHIFTED_IN,ReligiousAndMediaDomains,null
GaroLanguage,IS_SUPPORTED_BY,NationalLanguagePolicies2010,null
GaroLanguage,INTRODUCED_IN,Textbooks,null
GaroLanguage,IS_KNOWN_AS,LocalLanguageGaroCommunityBangladesh,null
GaroLanguage,IS_SPOKEN_BY,GaroCommunity,null
GaroLanguage,IS_USED_IN,PrePrimarySchools,null
GaroLanguage,IS_USED_IN,PrimarySchools,null
GaroLanguage,HAS_SHIFTED,ReligiousAndMediaDomains,null
GaroLanguageUseAlphabet,USES,RomanAlphabet,null
BanglaLinguisticImpactOnMandi,IS_EVIDENT_IN,UseOfLargeNumberOfBanglaWordsAndSentenceStructure,null
BanglaLinguisticImpactOnMandi,IS_EVIDENT_IN,Use of a large number of Bangla words and sentence structure,null
GaroPreferredName,IS,Mandi,null
GaroPreferredName,IS_CALLED,Mandi,null
MainstreamSocietyForeignersWritersPreferredNameForGaro,IS,Garo,null
StudyLanguage,USES,GaroLanguageAndMandi,null
LanguageMaintenance,IS_A_SIGNIFICANT_ISSUE,WhenACountryHasManyDiverseLanguages,null
NoResearchConductedOnGaroLanguageMaintenanceInBangladesh,IS_TRUE,TRUE,null
ExistingResearchOnGaroFocusesOnVariousTopics,IS_TRUE,TRUE,null
Burling1963StudiedGaroPeople,IS_TRUE,TRUE,null
BurlingStudyWasAnthropological,IS_TRUE,TRUE,null
BurlingMentionedGaroLanguageOriginHistory,IS_TRUE,TRUE,null
EllenBalIsAFamousResearcherOnGaroPeople,IS_TRUE,TRUE,null
TheyAskIfWeEatFrogsBookByEllenBal,IS_WRITTEN_BY,EllenBal,null
FirstPartOfTheyAskIfWeEatFrogsDescribesEthnicCommunityBasedDiscourses,IS_TRUE,TRUE,null
SecondPartOfTheyAskIfWeEatFrogsDescribesGaroHistoryConstitutionAndBoundaries,IS_TRUE,TRUE,null
ThirdPartOfTheyAskIfWeEatFrogsDescribesGaroSelfPerceptionAndGroupFormation,IS_TRUE,TRUE,null
Islam2008FocusesOnGaroOriginAndHistory,IS_TRUE,TRUE,null
GaroMarriageRituals,ARE_STUDIED,"Islam, 2008",null
GaroMarriageRituals,ARE_STUDIED_BY,"Islam, 2008",null
GaroCommunityBangladesh,HAVE_PSYCHOSOCIAL_DIMENSION_OF_ETHNICITY_STUDIED,"Das & Islam, 2005",null
GaroCommunityBangladesh,ARE_A_SMALL_REPRESENTATION,GaroCommunity,null
GaroReligiousRitualsAndWorldview,ARE_STUDIED,"Khaleque,1983",null
GaroReligiousRitualsAndWorldview,ARE_STUDIED_BY,"Khaleque,1983",null
GaroFamilyStructureAndCulturalPatterns,ARE_STUDIED,"Sattar & Jalil, 2002",null
GaroFamilyStructureAndCulturalPatterns,ARE_STUDIED_BY,"Sattar & Jalil, 2002",null
MandiLanguageLexiconAndGrammar,ARE_STUDIED_BY,"Burling, 2003 & 2004",null
MandiLanguages,ARE_STUDIED_FOR_LINGUISTIC_VARIATION,"Kim et al., 2010",null
ResearchQuestion,IS,HowAndToWhatExtentDoGaroCommunityMembersInBangladeshMaintainTheirLanguage,null
LanguageShift,IS,TheChangeOfLanguageUseFromTheFirstLanguageToAnotherLanguageDueToTheInfluenceOfTheDominantLanguage,null
LanguageMaintenancePattern,VARIES_ACROSS_THE_WORLD,SomeMinorityLanguagesAreShiftedToMainstreamLanguagesWhileSomeAreMaintainedDueToTheStrongWillingnessAndEthnicityOfTheCommunityMembers,null
TheoreticalFrameworkOfDomainApproach,IS_USED,InExploringTheLanguageMaintenanceOfGaroCommunityMembersInBangladesh,null
LanguageMaintenanceResearchInThe1980s,USED,Fishman’s (1965,null
Bangladesh,HAS_AS_OFFICIAL_LANGUAGE,Bangla,null
Bangladesh,HAS_A_SPEAKER_GROUP,BishnupriyaManipuriSpeakers,null
DifferentDomains,CONSIST_OF,"Family, Friendship, Church, Clubs, Work",null
DifferentDomains,CONSIST_OF,"Education, Religion, SecularCommunityGroups, Work, TransactionalDomain, EthnicPress, Radio, Television, Video, Libraries",null
Research,INVESTIGATES,LanguageMaintenance,null
DomainApproach,IS_USED_FOR,InvestigatingLanguageUsePatterns,null
DomainApproach,ASKS,WhoSpeaksWhatLanguageToWhomAndWhen,null
Domain,DENOTES,PlacesOrLocationsAsWellAsSocioCulturalContexts,null
GaroCommunityMembersInBangladesh,ARE_LOCATED,HaluaghatThana,null
GaroCommunityMembersInBangladesh,ARE_LOCATED,PhulpurThana,null
GaroCommunityMembersInBangladesh,USE,"MandiLanguage, BanglaLanguage, EnglishLanguage",null
GaroCommunityMembersInBangladesh,HAVE_A_TRADITION,LanguageMaintenance,null
GaroCommunityMembersInBangladesh,HAVE_A_TRADITION,Multilingualism,null
GaroCommunityMembersInBangladesh,USE_MIXED,"MandiLanguage, BanglaLanguage, EnglishLanguage",null
GaroCommunityMembersInBangladesh,USE_WITH_SAME_COMMUNITY,MandiLanguage,null
GaroCommunityMembersInBangladesh,USE_WITH_BENGALI,BanglaLanguage,null
GaroCommunityMembersInBangladesh,USE_INCIDENTALLY_OR_AUTOMATICALLY,BanglaLanguage,null
GaroCommunityMembersInBangladesh,INFLUENCE_OF_DOMINANT_LANGUAGE,MandiLanguage,null
GaroCommunityMembersInBangladesh,COLLECTED_FROM,TwoVillages,null
GaroCommunityMembersInBangladesh,INTERACT_MOSTLY,BanglaLanguage,null
GaroCommunityMembersInBangladesh,HAVE_LANGUAGE_MAINTENANCE_ISSUES,InstitutionsAndChurches,null
GaroCommunityMembersInBangladesh,TAKE_INDIVIDUAL_INITIATIVES,OrganizeReligiousProgramsAndRituals,null
GaroCommunityMembersInBangladesh,HAVE_INSTITUTIONS,Institutions,null
GaroCommunityMembersInBangladesh,HAVE_CHURCHES,Churches,null
GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATION,HaluaghatThana,null
GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATION,PhulpurThana,null
GaroCommunityMembers,HAVE_DIFFERENT_PERCEPTION,HaluaghatThana,null
GaroCommunityMembers,HAVE_DIFFERENT_PERCEPTION,PhulpurThana,null
GaroCommunityMembers,USE,FourDomains,null
GaroCommunityMembers,USE,Mandi Language,null
GaroCommunityMembers,USE,Bangla Language,null
GaroCommunityMembers,USE,English Language,null
GaroCommunityMembers,LIVE_IN,TwoVillages,null
GaroCommunityMembers,ARE_LOCATED_IN,Bangladesh,null
GaroCommunityMembers,ARE_LOCATED_IN,Haluaghat,null
GaroCommunityMembers,ARE_LOCATED_IN,Phulpur,null
GaroCommunityMembers,HAVE_PROFESSIONS,TeacherPrimary,null
GaroCommunityMembers,HAVE_PROFESSIONS,PrivateJobNGO,null
GaroCommunityMembers,HAVE_PROFESSIONS,Electrician,null
GaroCommunityMembers,HAVE_PROFESSIONS,Retired,null
GaroCommunityMembers,HAVE_PROFESSIONS,Teacher,null
GaroCommunityMembers,HAVE_PROFESSIONS,Private job (NGO,null
GaroCommunityMembers,HAVE_PROFESSIONS,Deputy Commissioner,null
GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATIONS,HaluaghatThana,null
GaroCommunityMembers,HAVE_DIFFERENT_LANGUAGE_SITUATIONS,PhulpurThana,null
GaroCommunityMembers,HAVE_DIFFERENT_PERCEPTIONS,HaluaghatThana,null
GaroCommunityMembers,HAVE_DIFFERENT_PERCEPTIONS,PhulpurThana,null
GaroCommunityMembers,ARE_MOSTLY_USING,"FourDomains: {family, friendship, religious, media}",null
GaroCommunityMembers,ARE_KNOWN_FOR,UsingMandiLanguageInFamily,null
GaroCommunityMembers,USE_MOSTLY,MandiLanguageInFamily,null
GaroCommunityMembers,ARE_CHRISTIAN,Christian,null
Clyne1991,STATES,(EthnicCommunitiesConcentration,null
Clyne1991,FOUND,FamilyDomainImportanceForLanguageMaintenance,null
Clyne1991,FOUND,FamilyDomainIsImportantForLanguageMaintenance,null
Clyne1991,STATES_THAT,ConcentrationOfEthnicCommunities,null
Researcher,USED,SnowballTechnique,null
Researcher,CHOSEN_USING,SnowballTechnique,null
Researcher,INITIALLY_KNEW,SomeParticipants,null
Researcher,EXPLAINED_AIM,Participants,null
Researcher,GAVE_CONSENT_FORM,Participants,null
Researcher,ASSURED_PSEUDONYMS,Participants,null
Researcher,PROMISED_CONTACT,Participants,null
Researcher,EXPLAINED_AIMS,Participants,null
Researcher,GAVE_CONSENT_FORMS,Participants,null
Researcher,ASSURED_PRIVACY,Participants,null
Participants,NUMBER_OF,TenFemale,null
Participants,NUMBER_OF,NineMale,null
Participants,ARE_FROM,DifferentProfessionalGroups,null
Participants,REPORT,LanguageUseAndPreferenceInInterviews,null
Participants,USE_AND_PREFER,LanguageInDifferentDomains,null
Participants,TRY_TO_SPEAK,MandiLanguage,null
Participants,SPEAK_MANDI_WITH_SPOUSE,Except4,null
Participants,SHOW_WILLINGNESS,PreserveMandiLanguageByUsingItInReligiousPractices,null
Participants,ARGUE,(YoungGenerationAgedBelow35,null
Participants,ARE_WILLING_TO_PRESERVE,TheirLanguageByUsingItInReligiousPractices,null
AgesOfParticipants,VARIES_FROM,TwentyToNinety,null
AgeGroup_20to34,CONTAINS,SixFemales,null
AgeGroup_35to95,CONTAINS,ThreeMales,null
GaroMen,ARE_FROM,HaluaghatThana,null
Study,USES,SemiStructuredInterviews,null
Interviewer,ROLE,ActiveListener,null
Interviewer,TAKES_NOTES,DuringInterviews,null
Interviews,TOOK,7Days,null
Interviews,LENGTH,20Minutes,null
Interviews,AUDIO_RECORDED,AfterPermission,null
Interviews,TAKE_TIME,7Days,null
FirstTwoInterviews,LENGTH,MoreThanOneHour,null
Data,WERE_TRANSCRIBED,AfterInterviews,null
Data,WERE_CODED,AccordingToThemes,null
Data,ARE_TRANSCRIBED,AfterInterviews,null
Data,ARE_CODED,AccordingToThemesAndSubthemes,null
Domains,SELECTED,FourDomains,null
FamilyDomain,IS_IMPORTANT_FOR,LanguageMaintenance,null
FamilyDomain,IS_IMPORTANT_FOR,MandiLanguageMaintenance,null
Parents,ARE_SELECTED_FOR_INTERVIEW,BecauseOfFrequentContactWithParticipants,null
SecondGenerationGaroChildren,SPEAK,MandiLanguage,null
SecondGenerationGaroChildren,SPEAK,BanglaOrEnglish,null
SecondGenerationGaroChildren,ALSO_SPEAK,BanglaLanguage,null
MothersOfSecondGenerationGaroChildren,TEACH,MandiLanguage,null
SchoolGoingChildren,LEARN_MORE,BanglaLanguage,null
M1,SPEAKS,EnglishOrBengali,null
M1,SPEAKS,Bengali,null
M1,SPEAKS,English,null
M1,MIX_LANGUAGE_WITH_SPOUSE,"Bangla, Mandi, English",null
M1,WORKS_AT,Russia,null
M1,IS_THE_ONLY_ONE,MandiFamily,null
F4,MIX_LANGUAGE_WITH_SPOUSE,"Mandi, Bangla",null
ParticipantsAgedBelow35WithMainstreamCommunitySpouse,SPEAK_MIXED_LANGUAGE,"Bangla, Mandi",null
GaroChildren,USE,BanglaLanguage,null
GaroChildren,TRY_TO_SPEAK,BanglaWithSiblingsWhenInfluencedBySchool,null
GaroChildren,USE_LANGUAGE_WITH_SIBLINGS,MandiLanguage,null
GaroChildren,TRY_TO_SPEAK_BANGLA_WITH_SIBLINGS,WhenInfluencedBySchool,null
GaroChildren,GO_TO,MainstreamSchools,null
GaroChildren,DEVELOP_SOCIALISATION,BengaliChildren,null
Mothers,ENCOURAGE_CHILDREN_NOT_TO_SPEAK_BANGLA,WithSiblings,null
Mothers,ENCOURAGE_CHILDREN,NotToSpeakBanglaWithSiblings,null
ParentsEducatedCityResidentsChildren,SPEAK_BANGLA_OR_ENGLISH,WithSiblings,null
ParticipantsAbove35,SPEAK_MANDI_WITH_SIBLINGS,TRUE,null
ParticipantsBelow35,HAVE_LOW_TENDENCY_TO_SPEAK_MANDI,WithSiblings,null
ParticipantsBelow35,HAVE_LOW_TENDENCY,SpeakMandiWithSiblings,null
GaroGrandchildren,SPEAK_MANDI_WITH_GRANDPARENTS,TRUE,null
MandiLanguageMaintenance,IS_HIGHER,WithGrandparents,null
MandiLanguageMaintenance,IS_STUDIED,ChittagongUniversityJournalOfSocialSciences,null
MandiLanguageMaintenance,CONTRIBUTES_TO,OverallPictureOfMandiLanguageMaintenance,null
MandiLanguageMaintenance,IS_AFFECTED_BY,DomainsPlayingSignificantRole,null
GaroGrandparents,ARE_KNOWN_AS,LowBanglaProficiency,null
HighlyEducatedGaroParticipants,SPEAK,MandiAndBangla,null
HighlyEducatedGaroParticipants,MAINTAIN_THEIR_LANGUAGE,Differently,null
HighlyEducatedGaroParticipants,START_CONVERSATIONS_WITH,Mandi,null
HighlyEducatedGaroParticipants,SPEAK_MANDI_WITH,RelativesWithNoLiteracy,null
MandiCommunity,USE,RomanAlphabetToWrite,null
MandiCommunity,SPEAK,Bangla,null
MandiCommunity,HELP_WITH,ExtendedFamilyAndRelatives,null
MandiCommunity,PLAY_A_SIGNIFICANT_ROLE,PreservationOfMandi,null
MandiCommunity,LIVE_IN,HaluaghatThanaAndPhulpurThana,null
MandiCommunity,PRACTICE,UsingBanglaInPrayersAtChurch,null
MandiCommunity,PRACTICE,UsingBanglaInPrayersAtHome,null
MandiCommunity,PRACTICE,OrganizingPrayersAndRitualsInMandiTwiceAWeek,null
MandiCommunity,PRAY_IN,Bangla,null
MandiCommunity,USE_MANDI,AtHome,null
MandiCommunity,ORGANIZE_PRAYERS,TwiceAWeek,null
MandiCommunity,FEEL_SPIRITUAL,Bangla,null
MandiCommunity,FEEL_SPIRITUAL,WhenPrayingInMandiLanguage,null
MandiCommunity,ROLE_IN_PRESERVING,ExtendedFamilyAndRelatives,null
MandiCommunityParticipants,LIVE_IN,HaluaghatThanaAndPhulpurThana,null
HomeLanguagePreferenceOlderPeople,IS_HIGH,Mandi,null
HomeLanguagePreferenceFirstClassJobHolders,USE,Bangla,null
HomeLanguagePreferenceFirstClassJobHolders,PRIORITY,Bangla,null
LocalJobholdersTeachersFarmersHomeLanguagePreference,USE,Mandi,null
YoungerPeopleHomeLanguagePreference,PREFER,Bangla,null
YoungerPeople,SHOW_LOW_VALUE,Bilingualism,null
MandiUsers,USE_AND_PREFER,MandiLanguageAtHome,null
GrandparentsRoleInLanguageMaintenance,ILLUSTRATES,Clyne1991Findings,null
StudyResults,DEMONSTRATE,GenerationDifferencesInLanguageMaintenance,null
MandiLanguageUseAbove35,IS_HIGHER,PeopleAbove35,null
MandiLanguageUseBelow35,IS_LOW,PeopleBelow35,null
PeopleBelow35,PREFER_BANGLA_AT_HOME,MandiCommunity,null
PeopleBelow35,OPINION,(NoOneSpeaksMandiHere,null
PeopleBelow35,CONNECTION,BanglaLanguageMainstreamCommunity,null
PeopleBelow35,LOW_VALUE,Bilingualism,null
VillageNearMandiStreamCommunity,HAS_A_HIGH_PREFERENCE,MandiLanguage,null
ParticipantsLivingWithBengaliMainstreamCommunity,HAVE_A_HIGH_CHANCE,LosingMandiLanguage,null
ParticipantsLivingWithBengaliMainstreamCommunity,HAVE_A_HIGH_CHANCE_OF_LOSING,MandiLanguage,null
TwoVillages,NEAR_BENGALI_MAINSTREAM,OneVillage,null
OneVillage,IS_NEAR_TO,BengaliMainstreamCommunity,null
F3,SPEAKS,Bangla,null
F3,TEACHES_AT,School,null
M4,SPEAKS,MixedLanguage,null
M4,PREFERES,Bangla,null
F5,SPEAKS,Bangla,null
GaroPeople,USE_MOTHER_TONGUE,100%,null
GaroPeople,USE_MOTHER_TONGUE,80-100%,null
GaroPeople,HAVE_SOCIAL_NETWORKS,MandiCommunity,null
GaroPeople,HAVE_SOCIAL_NETWORKS,BengaliCommunity,null
GaroPeople,PREFER_TO_STAY,WithinMandiCommunityMembers,null
GaroPeople,SPEAK_MANDI,Can_Understand,null
GaroPeople,DO_NOT_HAVE,NationalOrPrivatePodcastingMediaMoviesOrDrama,null
GaroPeople,DO_NOT_HAVE,Media,null
GaroPeople,HAVE_LITERACY_RATE,90%,null
GaroPeople,SPEAK_BANGLA,Can,null
GaroPeople,WRITE_NAME_IN_BANGLA,Can,null
